id,name,goals,assists
30726.0, Edwin van der Sar,0,0
35906.0, Tomasz Kuszczak,0,0
30362.0, Wes Brown,1,0
38994.0, Rafael,1,0
30615.0, Gary Neville,0,0
24150.0, John O'Shea,0,3
30620.0, Rio Ferdinand,0,0
30865.0, Nemanja Vidic,4,1
32569.0, Patrice Evra,0,2
43248.0, Jonny Evans,0,0
24148.0, Darren Fletcher,3,0
30893.0, Cristiano Ronaldo,18,6
30802.0, Ji-Sung Park,2,2
34944.0, Michael Carrick,4,6
30373.0, Paul Scholes,2,2
40961.0, Anderson,0,0
24154.0, Ryan Giggs,2,7
40945.0, Nani,1,4
24157.0, Fraizer Campbell,0,0
38817.0, Carlos Tevez,5,3
27430.0, Dimitar Berbatov,9,10
30829.0, Wayne Rooney,12,7
