,league_id,season,stage,date,match_id,home_team_id,away_team_id,home_team_goal,away_team_goal,scored_by,assisted_by,cards_home_team,cards_away_team,corners_home_team,corners_away_team,shoton_home_team,shoton_away_team,shotoff_home_team,shotoff_away_team,cross_home_team,cross_away_team,possession_home_team,possession_away_team
0,1729,2008/2009,1,2008-08-17 00:00:00,489042,10260,10261,1,1,37799;24148,38807;24154,3,0,6,6,11,1,10,9,24,9,55,45
1,1729,2008/2009,10,2008-10-29 00:00:00,489132,10260,8654,2,0,30893;30893,40945;27430,1,2,3,1,11,3,8,3,14,6,60,40
2,1729,2008/2009,11,2008-11-01 00:00:00,489142,10260,8667,4,3,30893;26143;34944;30893;30865;32577;39073,27430;23022;27430;40945;30829,2,2,9,1,7,3,9,4,12,8,50,50
3,1729,2008/2009,12,2008-11-08 00:00:00,489152,9825,10260,2,1,26181;26181;38994,30613,3,2,5,6,6,9,6,10,16,20,52,48
4,1729,2008/2009,13,2008-11-15 00:00:00,489162,10260,10194,5,0,30893;34944;27430;113836;30893,30893;38817;111975,1,2,3,0,11,0,6,2,17,12,58,42
5,1729,2008/2009,14,2008-11-22 00:00:00,489175,10252,10260,0,0,,,1,0,3,6,7,5,3,6,13,18,40,60
6,1729,2008/2009,15,2008-11-30 00:00:00,489187,8456,10260,0,1,30829,34944,2,6,3,8,1,8,8,5,13,19,49,51
7,1729,2008/2009,16,2008-12-06 00:00:00,489192,10260,8472,1,0,30865,,1,0,10,1,10,1,14,0,50,4,80,20
8,1729,2008/2009,17,2008-12-13 00:00:00,489204,8586,10260,0,0,,,1,1,4,14,5,10,5,5,14,28,38,62
9,1729,2008/2009,18,2009-01-14 00:00:00,489212,10260,8528,1,0,30829,30893,0,3,4,6,6,5,5,10,18,22,50,50
10,1729,2008/2009,19,2008-12-26 00:00:00,489230,10194,10260,0,1,38817,27430,5,2,6,9,4,8,3,9,15,23,48,52
11,1729,2008/2009,2,2008-08-25 00:00:00,489059,8462,10260,0,1,24148,32569,2,2,4,3,4,7,8,5,17,13,36,64
12,1729,2008/2009,20,2008-12-29 00:00:00,489233,10260,8549,1,0,27430,,2,0,8,4,12,2,18,6,25,16,53,47
13,1729,2008/2009,21,2009-01-11 00:00:00,489243,10260,8455,3,0,30865;30829;27430,27430;32569;30893,3,5,6,3,6,6,5,4,14,13,56,44
14,1729,2008/2009,22,2009-01-17 00:00:00,489259,8559,10260,0,1,27430,38817,1,1,1,8,3,13,5,5,16,19,41,59
15,1729,2008/2009,23,2009-01-27 00:00:00,489266,8659,10260,0,5,27430;38817;30865;30893;30893,34944;24154;24154;27430,6,2,5,4,4,6,10,6,14,10,39,61
16,1729,2008/2009,24,2009-01-31 00:00:00,489273,10260,8668,1,0,30893,,0,0,6,2,11,5,7,3,17,13,52,48
17,1729,2008/2009,25,2009-02-08 00:00:00,489285,8654,10260,0,1,24154,30373,1,1,5,11,5,8,8,8,25,32,47,53
18,1729,2008/2009,26,2009-02-21 00:00:00,489293,10260,8655,2,1,30829;30646;30893,40945;37764,2,2,4,6,5,6,9,8,16,24,58,42
19,1729,2008/2009,27,2009-04-22 00:00:00,489303,10260,8462,2,0,30829;34944,24154;30373,1,0,6,2,12,2,6,3,18,9,52,48
20,1729,2008/2009,28,2009-03-04 00:00:00,489319,10261,10260,1,2,36412;30829;27430,33852;24150;30802,2,2,3,10,5,7,4,5,13,19,37,63
21,1729,2008/2009,29,2009-03-14 00:00:00,489323,10260,8650,1,4,30893;30853;30618;34222;39647,22764;30660,3,3,10,3,8,3,8,2,23,10,61,39
22,1729,2008/2009,3,2009-02-18 00:00:00,489062,10260,9879,3,0,30373;27430;30829,34944;24150;30802,1,1,11,2,8,1,10,5,22,11,55,45
23,1729,2008/2009,30,2009-03-21 00:00:00,489338,9879,10260,2,0,30338;24737,31907,2,6,3,4,11,13,9,6,16,13,54,46
24,1729,2008/2009,31,2009-04-05 00:00:00,489343,10260,10252,3,2,30893;26165;23264;30893;165709,24154;23782;26165;34944;24154,1,2,8,4,6,4,7,3,29,18,53,47
25,1729,2008/2009,32,2009-04-11 00:00:00,489354,8472,10260,1,2,30373;30988;165709,30829;24655;34944,1,2,5,4,7,4,8,11,23,14,50,50
26,1729,2008/2009,33,2009-05-13 00:00:00,489371,8528,10260,1,2,71550;38817;34944,25150;34944;24150,0,0,5,4,6,6,6,10,13,21,48,52
27,1729,2008/2009,34,2009-04-25 00:00:00,489373,10260,8586,5,2,23949;31097;30893;30829;30893;30829;27430,46403;30895;38817;30829;30893,3,3,6,2,12,2,6,2,24,10,53,47
28,1729,2008/2009,35,2009-05-02 00:00:00,489387,8549,10260,0,2,24154;30802,30865;30829,1,1,3,3,8,3,7,9,22,6,44,56
29,1729,2008/2009,36,2009-05-10 00:00:00,489393,10260,8456,2,0,30893;38817,27430,1,1,8,7,6,5,6,5,19,23,49,51
30,1729,2008/2009,37,2009-05-16 00:00:00,489403,10260,9825,0,0,,,0,5,2,6,3,10,8,5,13,22,50,50
31,1729,2008/2009,38,2009-05-24 00:00:00,489421,8667,10260,0,1,24156,165709,2,1,8,2,9,4,4,7,25,10,52,48
32,1729,2008/2009,4,2008-09-13 00:00:00,489072,8650,10260,2,1,38817;30915,27430;37139,0,4,5,4,10,4,6,3,23,14,50,50
33,1729,2008/2009,5,2008-09-21 00:00:00,489091,8455,10260,1,1,30802;31906,27430;30631,1,7,7,4,16,8,9,6,32,13,50,50
34,1729,2008/2009,6,2008-09-27 00:00:00,489092,10260,8559,2,0,30893;30829,30893,0,3,16,4,19,5,11,5,30,14,79,21
35,1729,2008/2009,7,2008-10-04 00:00:00,489107,8655,10260,0,2,30362;30829,30829;30893,2,1,3,4,4,8,3,8,16,24,39,61
36,1729,2008/2009,8,2008-10-18 00:00:00,489112,10260,8659,4,0,30829;30893;27430;40945,27430;30829;40945;30829,0,1,15,1,10,2,5,4,32,6,78,22
37,1729,2008/2009,9,2008-10-25 00:00:00,489125,8668,10260,1,1,24148;39618,24154;30371,3,3,6,9,10,10,4,9,20,17,57,43
38,1729,2009/2010,1,2009-08-16 00:00:00,658571,10260,8658,1,0,30829,,1,1,12,2,18,3,11,3,27,16,55,45
39,1729,2009/2010,10,2009-10-25 00:00:00,658707,8650,10260,2,0,30853;41175,24800;95327,3,4,5,1,6,7,6,3,14,10,49,51
40,1729,2009/2010,11,2009-10-31 00:00:00,658710,10260,8655,2,0,27430;30829,32569;40961,0,2,7,2,9,2,10,2,35,4,65,35
41,1729,2009/2010,12,2009-11-08 00:00:00,658728,8455,10260,1,0,30627,30631,3,3,0,7,6,8,3,11,12,19,52,48
42,1729,2009/2010,13,2009-11-21 00:00:00,658796,10260,8668,3,0,24148;34944;35327,35327;24154;30373,2,2,13,4,7,6,6,6,40,8,67,33
43,1729,2009/2010,14,2009-11-28 00:00:00,658799,8462,10260,1,4,30829;27335;30829;30829;24154,24154,4,3,4,8,11,4,9,6,14,19,46,54
44,1729,2009/2010,15,2009-12-05 00:00:00,658810,8654,10260,0,4,30373;24156;35327;30829,24154;40961;35327,0,1,2,8,6,3,4,9,4,26,41,59
45,1729,2009/2010,16,2009-12-12 00:00:00,658819,10260,10252,0,1,23264,23354,1,1,9,4,10,4,8,4,29,17,57,43
46,1729,2009/2010,17,2009-12-15 00:00:00,658832,10260,8602,3,0,30829;30865;35327,24156;27430,1,1,8,2,11,1,4,3,26,9,63,37
47,1729,2009/2010,18,2009-12-19 00:00:00,658845,9879,10260,3,0,30338;24741;34574,30956;24741,0,1,5,2,6,5,4,11,14,18,50,50
48,1729,2009/2010,19,2009-12-27 00:00:00,658921,8667,10260,1,3,30829;23034;27430,24148;30829,0,2,5,6,5,9,7,6,13,25,58,42
49,1729,2009/2010,2,2009-08-19 00:00:00,658589,8191,10260,1,0,23074,,2,1,1,12,2,10,6,9,10,37,36,64
50,1729,2009/2010,20,2009-12-30 00:00:00,658935,10260,8528,5,0,30829;34944;38994;27430;35327,38994;35327;24148;35327;30829,0,1,7,3,9,5,8,6,38,7,65,35
51,1729,2009/2010,21,2010-01-09 00:00:00,658944,8658,10260,1,1,31953,,2,2,2,12,5,13,2,5,11,39,33,67
52,1729,2009/2010,22,2010-01-16 00:00:00,658950,10260,8191,3,0,27430;30829;72735,30829;27430;35327,0,0,7,1,10,8,14,6,24,6,61,39
53,1729,2009/2010,23,2010-01-23 00:00:00,658960,10260,8667,4,0,30829;30829;30829;30829,30373;24156;40945;27430,1,1,12,8,10,4,11,7,28,16,58,42
54,1729,2009/2010,24,2010-01-31 00:00:00,658974,9825,10260,1,3,40945;30829;30802;26005,40945;34944,1,0,8,4,2,3,10,5,17,19,55,45
55,1729,2009/2010,25,2010-02-06 00:00:00,658976,10260,8462,5,0,30829;34944;27430,24148;30829,1,4,12,1,7,5,12,2,29,3,60,40
56,1729,2009/2010,26,2010-02-10 00:00:00,659075,10252,10260,1,1,33863,,0,2,1,7,4,7,5,5,12,26,43,57
57,1729,2009/2010,27,2010-02-20 00:00:00,659082,8668,10260,3,1,27430;10491;46810;109058,35327;36012;24011,5,1,4,12,4,2,3,8,26,31,51,49
58,1729,2009/2010,28,2010-02-23 00:00:00,659091,10260,8654,3,0,30829;30829;30619,35327;35327;30373,0,1,6,7,8,8,3,6,26,26,60,40
59,1729,2009/2010,29,2010-03-06 00:00:00,659106,8602,10260,0,1,30373,,2,1,2,3,7,4,6,7,13,18,43,57
60,1729,2009/2010,3,2009-08-22 00:00:00,658602,8528,10260,0,5,30829;27430;30829;30619;40945,35327;30373;27430;40945,2,2,3,5,7,9,4,2,16,25,48,52
61,1729,2009/2010,30,2010-03-14 00:00:00,659111,10260,9879,3,0,30829;30829;27430,40945;27430;30802,1,1,11,1,16,5,15,3,33,5,68,32
62,1729,2009/2010,31,2010-03-21 00:00:00,659127,10260,8650,2,1,30853;30829;30802,37139;24148,2,3,1,2,4,1,5,1,13,11,60,40
